x,y,z,time
-2.41326,-6.64137,0.48068997,1.43032E+12
-2.68794,-8.78976,4.88538,1.43032E+12
1.45188,-3.30597,0.51993,1.43032E+12
0.42183,-11.46789,-1.05948,1.43032E+12
0.42183,-7.22016,5.18949,1.43032E+12
1.1085299,-9.78057,0.94175994,1.43032E+12
-0.73574996,-10.28088,4.88538,1.43032E+12
-2.2268698,-4.79709,0.44145,1.43032E+12
-0.84366,-10.35936,5.8761897,1.43032E+12
1.7167499,-1.69713,0.55917,1.43032E+12
1.41264,-13.03749,1.32435,1.43032E+12
1.0300499,-8.44641,5.53284,1.43032E+12
-3.6787498,-15.83334,2.73699,1.43032E+12
-0.03924,-9.976769,2.43288,1.43032E+12
-2.6487,-7.86762,-0.28449,1.43032E+12
-2.49174,-9.74133,5.3856897,1.43032E+12
1.2654899,-2.42307,2.7762299,1.43032E+12
-3.9141898,-11.38941,1.16739,1.43032E+12
4.06134,-10.202399,1.6284599,1.43032E+12
1.9129499,-8.97615,4.08096,1.43032E+12
1.2654899,-5.53284,2.39364,1.43032E+12
9.809999,-8.8289995,-2.01105,1.43032E+12
-3.8357098,-8.97615,3.1980598,1.43032E+12
10.07487,-16.677,1.4322599,1.43032E+12
1.3047299,-1.11834,4.04172,1.43032E+12
1.64808,-12.57642,1.08891,1.43032E+12
0.22563,-6.48441,5.4936,1.43032E+12
4.2869697,-10.4378395,2.3544,1.43032E+12
0.03924,-1.65789,3.5806499,1.43032E+12
1.3734,-16.99092,5.84676,1.43032E+12
2.83509,-7.7499,5.4936,1.43032E+12
5.97429,-6.2195396,1.93257,1.43032E+12
0.80442,-10.663469,2.16801,1.43032E+12
-1.38321,-13.11597,6.79833,1.43032E+12
0.99081,-11.92896,3.1980598,1.43032E+12
6.4746,-11.35017,6.79833,1.43032E+12
8.3483095,-7.1809196,5.4249296,1.43032E+12
4.16925,-8.59356,2.73699,1.43032E+12
5.7094197,-8.8289995,5.4936,1.43032E+12
4.13982,-9.35874,6.5334597,1.43032E+12
5.8958097,-6.5236497,1.6284599,1.43032E+12
6.09201,-9.25083,7.41636,1.43032E+12
4.7088,-10.4378395,7.56351,1.43032E+12
7.23978,-11.32074,2.97243,1.43032E+12
3.6787498,-10.4378395,3.5806499,1.43032E+12
0.46107,-11.664089,2.19744,1.43032E+12
4.1005797,-7.9460998,5.80752,1.43032E+12
-1.11834,-0.93195,0.90252,1.43032E+12
9.388169,-14.155829,-1.08891,1.43032E+12
-8.16192,-9.054629,-1.97181,1.43032E+12
-0.65726995,-9.59418,5.0031,1.43032E+12
7.8185697,-14.381459,2.19744,1.43032E+12
-3.6787498,0.94175994,0.058859996,1.43032E+12
-2.57022,-6.7198496,-2.73699,1.43032E+12
-0.76518,-15.14664,5.15025,1.43032E+12
-3.9141898,-11.74257,1.36359,1.43032E+12
-0.92214,-7.40655,6.11163,1.43032E+12
-3.29616,3.24711,-3.54141,1.43032E+12
0.80442,-14.2245,3.61989,1.43032E+12
-0.96137995,-8.67204,7.22016,1.43032E+12
-3.71799,-3.61008,1.4322599,1.43032E+12
-2.34459,-6.5236497,1.4322599,1.43032E+12
0.03924,-4.07115,4.72842,1.43032E+12
-3.07053,-10.92834,1.5107399,1.43032E+12
0.52974,-4.2673497,1.16739,1.43032E+12
-1.11834,-3.08034,2.97243,1.43032E+12
-1.15758,-10.54575,2.43288,1.43032E+12
1.9914299,-4.9148097,1.6284599,1.43032E+12
