x,y,z,time
-1.4699999, -9.33, 3.33, 1430065095176
-4.6, -10.75, 5.1099997, 1430065095236
-0.79999995, -8.559999, 2.06, 1430065095308
-2.6599998, -8.36, 4.8599997, 1430065095366
-1.4699999, -3.6899998, 4.08, 1430065095436
-1.4, -2.6699998, 4.2999997, 1430065095506
-0.45999998, -2.32, 6.3399997, 1430065095567
-1.9499999, -6.8399997, 4.48, 1430065095641
-6.52, -16.25, 9.7699995, 1430065095706
-1.54, -7.23, 4.1, 1430065095767
-3.05, -10.42, 1.65, 1430065095837
-2.55, -10.01, 2.5, 1430065095897
-4.04, -7.5699997, 1.5799999, 1430065095967
-4.43, -6.2599998, 0.63, 1430065096037
-1.12, -8.19, 2.47, 1430065096097
-3.85, -8.179999, 0.9, 1430065096166
-5.06, -8.48, 0.29999998, 1430065096227
-2.87, -11.33, 0.85999995, 1430065096296
-3.1399999, -13.24, -1.0699999, 1430065096366
-1.79, -11.66, 0.38, 1430065096427
-4.22, -10.33, 0.17, 1430065096505
-4.22, -10.33, 0.17, 1430065096518
-4.22, -10.33, 0.17, 1430065096525
-3.52, -10.5, 1.76, 1430065096535
-3.52, -10.5, 1.76, 1430065096555
-0.5, -11.7, 1.4, 1430065096568
-0.5, -11.7, 1.4, 1430065096575
-0.5, -11.7, 1.4, 1430065096585
1.38, -8.96, -0.41, 1430065096595
1.38, -8.96, -0.41, 1430065096605
1.38, -8.96, -0.41, 1430065096618
-0.96, -7.1299996, 2.57, 1430065096625
-0.96, -7.1299996, 2.57, 1430065096635
-3.1399999, -10.059999, 4.49, 1430065096645
-3.1399999, -10.059999, 4.49, 1430065096656
-3.1399999, -10.059999, 4.49, 1430065096667
-2.35, -8.12, 2.21, 1430065096675
-2.35, -8.12, 2.21, 1430065096685
-2.35, -8.12, 2.21, 1430065096695
-2.37, -4.19, 1.49, 1430065096705
-2.37, -4.19, 1.49, 1430065096718
-2.37, -4.19, 1.49, 1430065096725
-2.45, -3.28, 2.9399998, 1430065096736
-2.45, -3.28, 2.9399998, 1430065096746
-2.45, -3.28, 2.9399998, 1430065096756
-1.67, -3.27, 3.8, 1430065096771
-1.67, -3.27, 3.8, 1430065096775
-1.67, -3.27, 3.8, 1430065096787
-1.5999999, -3.6399999, 3.9099998, 1430065096796
-1.5999999, -3.6399999, 3.9099998, 1430065096806
-1.5999999, -3.6399999, 3.9099998, 1430065096820
-1.4699999, -2.8999999, 4.71, 1430065096826
-1.4699999, -2.8999999, 4.71, 1430065096837
-1.4699999, -2.8999999, 4.71, 1430065096846
-0.47, -2.6399999, 4.81, 1430065096856
-0.47, -2.6399999, 4.81, 1430065096870
-0.47, -2.6399999, 4.81, 1430065096876
-1.51, -4.2799997, 5.7599998, 1430065096887
-1.51, -4.2799997, 5.7599998, 1430065096897
-2.49, -6.5499997, 5.23, 1430065096905
-2.49, -6.5499997, 5.23, 1430065096919
-2.49, -6.5499997, 5.23, 1430065096925
-3.12, -8.94, 7.37, 1430065096935
-3.12, -8.94, 7.37, 1430065096946
-3.12, -8.94, 7.37, 1430065096956
-6.3399997, -15.309999, 9.179999, 1430065096971
-6.3399997, -15.309999, 9.179999, 1430065096976
-6.3399997, -15.309999, 9.179999, 1430065096987
-7.3799996, -16.77, 5.08, 1430065096997
-7.3799996, -16.77, 5.08, 1430065097007
-7.3799996, -16.77, 5.08, 1430065097017
-1.5999999, -7.21, 5.0299997, 1430065097026
-1.5999999, -7.21, 5.0299997, 1430065097037
-1.5999999, -7.21, 5.0299997, 1430065097047
-1.68, -4.91, 3.1399999, 1430065097055
-1.68, -4.91, 3.1399999, 1430065097069
-1.68, -4.91, 3.1399999, 1430065097075
-2.8799999, -8.24, 1.42, 1430065097085
-2.8799999, -8.24, 1.42, 1430065097096
-2.8799999, -8.24, 1.42, 1430065097106
-3.0, -12.0, 1.36, 1430065097115
-3.0, -12.0, 1.36, 1430065097126
-3.0, -12.0, 1.36, 1430065097137
-3.4099998, -11.259999, 1.31, 1430065097146
-3.4099998, -11.259999, 1.31, 1430065097156
-3.4099998, -11.259999, 1.31, 1430065097170
-3.6999998, -9.599999, 1.53, 1430065097176
-3.6999998, -9.599999, 1.53, 1430065097187
-2.6399999, -8.37, 1.8399999, 1430065097217
-2.6399999, -8.37, 1.8399999, 1430065097218
-2.95, -7.6499996, 1.77, 1430065097248
-3.3899999, -8.19, 1.06, 1430065097256
-3.3899999, -8.19, 1.06, 1430065097268
-3.3899999, -8.19, 1.06, 1430065097275
-4.0099998, -8.15, -0.5, 1430065097285
-4.0099998, -8.15, -0.5, 1430065097296
-4.0099998, -8.15, -0.5, 1430065097307
-3.52, -6.8799996, 0.14, 1430065097318
-3.52, -6.8799996, 0.14, 1430065097326
-3.52, -6.8799996, 0.14, 1430065097336
-2.97, -7.17, 1.3199999, 1430065097346
-2.97, -7.17, 1.3199999, 1430065097356
-2.97, -7.17, 1.3199999, 1430065097369
-2.52, -8.13, 1.8399999, 1430065097375
-2.52, -8.13, 1.8399999, 1430065097386
-2.52, -8.13, 1.8399999, 1430065097396
-2.4099998, -8.23, 1.73, 1430065097406
-2.4099998, -8.23, 1.73, 1430065097417
-2.4099998, -8.23, 1.73, 1430065097425
-3.04, -7.6099997, 1.05, 1430065097435
-3.04, -7.6099997, 1.05, 1430065097447
-4.5499997, -7.5, 0.58, 1430065097471
-4.5499997, -7.5, 0.58, 1430065097482
-4.5499997, -7.5, 0.58, 1430065097483
-4.64, -7.99, 0.42, 1430065097489
-4.64, -7.99, 0.42, 1430065097501
-4.64, -7.99, 0.42, 1430065097506
-4.69, -10.05, 0.96, 1430065097516
-4.69, -10.05, 0.96, 1430065097526
-4.69, -10.05, 0.96, 1430065097536
-3.97, -10.05, 0.35999998, 1430065097545
-3.97, -10.05, 0.35999998, 1430065097555
-3.97, -10.05, 0.35999998, 1430065097568
-3.1499999, -11.389999, 0.58, 1430065097576
-3.1499999, -11.389999, 0.58, 1430065097585
-3.1499999, -11.389999, 0.58, 1430065097596
-3.1499999, -11.389999, 0.58, 1430065097606
-3.8999999, -12.57, 0.02, 1430065097618
-3.8999999, -12.57, 0.02, 1430065097626
-4.98, -13.61, -1.35, 1430065097638
-4.98, -13.61, -1.35, 1430065097646
-4.98, -13.61, -1.35, 1430065097656
-2.9399998, -13.11, -0.78999996, 1430065097666
-2.9399998, -13.11, -0.78999996, 1430065097677
-2.9399998, -13.11, -0.78999996, 1430065097689
-1.87, -12.63, -0.98999995, 1430065097696
-1.87, -12.63, -0.98999995, 1430065097705
-1.87, -12.63, -0.98999995, 1430065097718
-2.26, -11.03, 0.099999994, 1430065097725
-2.26, -11.03, 0.099999994, 1430065097735
-2.55, -11.82, 1.4399999, 1430065097746
-2.55, -11.82, 1.4399999, 1430065097756
