x,y,z,time
-7.89705,-7.1612997,6.63156,1.43032E+12
-6.32745,-7.12206,-0.84366,1.43032E+12
-2.83509,-14.47956,-1.2262499,1.43032E+12
-2.14839,-7.3476896,1.7952299,1.43032E+12
-2.14839,-8.08344,0.42183,1.43032E+12
-3.4923599,-10.37898,1.9914299,1.43032E+12
-4.17906,-9.33912,2.9528098,1.43032E+12
-10.8891,-9.91791,-0.1962,1.43032E+12
-5.82714,-0.52974,3.63951,1.43032E+12
-13.22388,-12.02706,2.67813,1.43032E+12
1.64808,-4.16925,3.5217898,1.43032E+12
-11.35017,-18.3447,6.59232,1.43032E+12
-1.84428,-6.6609898,4.2869697,1.43032E+12
9.535319,-0.06867,-8.47584,1.43032E+12
7.12206,-11.30112,-5.32683,1.43032E+12
-9.04482,-3.40407,7.3574996,1.43032E+12
-11.497319,-8.7309,-3.37464,1.43032E+12
-9.348929,-7.54389,2.5309799,1.43032E+12
5.2483497,-11.52675,-6.8277597,1.43032E+12
-3.57084,-12.144779,4.32621,1.43032E+12
9.07425,7.3280697,-6.2097297,1.43032E+12
4.56165,-11.68371,-5.64075,1.43032E+12
-9.54513,1.23606,5.5917,1.43032E+12
-8.054009,-17.04978,1.60884,1.43032E+12
-1.0791,-9.57456,5.63094,1.43032E+12
-11.271689,-19.64943,2.17782,1.43032E+12
0.49049997,-4.09077,6.31764,1.43032E+12
4.86576,8.4366,-9.849239,1.43032E+12
-6.24897,-18.19755,-10.42803,1.43032E+12
-6.8277597,0.69650996,2.59965,1.43032E+12
-13.989059,-17.47161,-1.54017,1.43032E+12
-4.2183,-15.509609,10.80081,1.43032E+12
-11.771999,-18.923489,6.93567,1.43032E+12
-5.52303,-0.56898,2.98224,1.43032E+12
9.9571495,3.61008,-10.73214,1.43032E+12
3.9043798,-10.035629,-6.28821,1.43032E+12
-7.4752197,-3.9043798,7.8578095,1.43032E+12
1.0692899,-19.64943,2.06991,1.43032E+12
-0.69650996,-16.35327,3.9043798,1.43032E+12
-0.76518,-17.11845,12.90996,1.43032E+12
-5.28759,-15.24474,3.78666,1.43032E+12
4.20849,10.92834,-9.348929,1.43032E+12
7.70085,-14.09697,-3.07053,1.43032E+12
-9.74133,-1.7559899,7.58313,1.43032E+12
-2.68794,-19.64943,2.91357,1.43032E+12
0.56898,-8.26983,2.91357,1.43032E+12
-9.92772,-19.26684,-0.15696,1.43032E+12
-3.0312898,1.11834,3.1392,1.43032E+12
-1.7658,-19.53171,2.03067,1.43032E+12
6.2097297,-9.83943,-3.1097698,1.43032E+12
-8.27964,-2.2955399,6.7002296,1.43032E+12
-3.1097698,-19.08045,0.84366,1.43032E+12
2.56041,-9.37836,5.85657,1.43032E+12
-8.81919,-19.14912,-2.6487,1.43032E+12
-0.8829,-1.1772,5.28759,1.43032E+12
2.49174,-2.36421,-7.59294,1.43032E+12
3.44331,-12.87072,-3.87495,1.43032E+12
-3.37464,-8.23059,9.809999,1.43032E+12
5.5917,-19.64943,3.2569199,1.43032E+12
3.06072,5.79771,-8.89767,1.43032E+12
-1.42245,-19.04121,9.65304,1.43032E+12
-3.6787498,-7.3084497,3.78666,1.43032E+12
6.23916,8.25021,-11.11473,1.43032E+12
8.80938,-9.27045,-8.54451,1.43032E+12
-8.89767,-2.1385798,7.8578095,1.43032E+12
2.10915,-19.64943,3.56103,1.43032E+12
4.13982,-0.06867,-3.45312,1.43032E+12
-4.79709,-18.27603,-3.0312898,1.43032E+12
-1.1870099,0.47087997,1.45188,1.43032E+12
-8.81919,-14.70519,-3.57084,1.43032E+12
-3.6787498,-13.822289,5.85657,1.43032E+12
-8.4366,-0.6867,6.97491,1.43032E+12
5.01291,-19.64943,2.2563,1.43032E+12
2.79585,1.23606,-4.98348,1.43032E+12
-2.8743298,-15.970679,-5.1011996,1.43032E+12
-3.9926698,-0.10791,0.91233,1.43032E+12
-11.3796,-17.736479,-1.03986,1.43032E+12
1.7167499,-15.66657,9.11349,1.43032E+12
-1.50093,-18.58014,10.80081,1.43032E+12
-0.31392,-14.05773,3.6787498,1.43032E+12
4.24773,12.61566,-12.22326,1.43032E+12
-6.5530796,-18.76653,-0.57879,1.43032E+12
-1.34397,-2.17782,3.0999599,1.43032E+12
-6.17049,-12.87072,-5.7094197,1.43032E+12
-3.6787498,-7.92648,-0.03924,1.43032E+12
3.56103,-16.51023,12.105539,1.43032E+12
0.60822,-16.20612,1.68732,1.43032E+12
2.41326,10.1239195,-8.9271,1.43032E+12
5.16987,-6.1999197,-4.2183,1.43032E+12
-9.201779,-1.9129499,6.43536,1.43032E+12
-3.71799,-19.53171,3.1784399,1.43032E+12
-0.73574996,-19.64943,3.21768,1.43032E+12
-0.92214,2.42307,5.63094,1.43032E+12
4.52241,-1.98162,4.98348,1.43032E+12
5.5524597,-4.66956,2.9528098,1.43032E+12
5.2483497,-8.15211,6.6609898,1.43032E+12
3.86514,-11.30112,4.86576,1.43032E+12
4.2869697,-13.94001,2.59965,1.43032E+12
4.0221,-17.01054,1.7952299,1.43032E+12
3.1784399,-19.64943,3.1784399,1.43032E+12
4.13982,-19.64943,1.7952299,1.43032E+12
13.79286,-19.64943,-3.1097698,1.43032E+12
14.401079,-19.64943,0.84366,1.43032E+12
11.458079,-19.64943,5.2483497,1.43032E+12
6.97491,-19.64943,4.1005797,1.43032E+12
-3.5316,-19.64943,4.24773,1.43032E+12
-13.91058,-19.64943,1.49112,1.43032E+12
-18.89406,-18.619379,-0.69650996,1.43032E+12
-18.85482,-18.04059,1.9129499,1.43032E+12
-12.30174,-17.922869,3.1392,1.43032E+12
-3.7572298,-16.51023,-0.42183,1.43032E+12
6.01353,-4.97367,-9.50589,1.43032E+12
7.23978,2.80566,-13.30236,1.43032E+12
8.00496,9.702089,-14.067539,1.43032E+12
9.535319,13.80267,-12.2625,1.43032E+12
8.240399,14.302979,-9.04482,1.43032E+12
2.17782,13.76343,-9.1233,1.43032E+12
0.42183,13.76343,-8.58375,1.43032E+12
-1.2654899,11.69352,-7.77933,1.43032E+12
-1.9227599,8.17173,-6.74928,1.43032E+12
-1.64808,4.4537396,-8.35812,1.43032E+12
0.91233,2.3838298,-11.11473,1.43032E+12
3.9828598,-1.55979,-8.54451,1.43032E+12
6.6609898,-5.27778,-3.71799,1.43032E+12
7.4654098,-12.48813,11.3796,1.43032E+12
