Activity,x,y,z
jogging,13.78305,-2.03067,4.54203
jogging,-0.5886,2.49174,1.32435
jogging,12.78243,-4.40469,7.7989497
jogging,-2.58003,-0.96137995,-1.12815
jogging,17.76591,-5.17968,1.01043
jogging,5.62113,1.1477699,-1.5892199
jogging,7.3084497,-1.03986,0.51993
jogging,1.78542,-2.83509,-2.8547099
jogging,17.22636,2.4524999,-3.5806499
jogging,0.25506,0.18639,3.11958
jogging,5.27778,-0.65726995,1.36359
jogging,2.32497,-4.4439297,-2.51136
jogging,16.000109,4.2183,-2.31516
jogging,1.94238,-0.23543999,3.2765398
jogging,3.31578,-1.00062,3.5806499
jogging,17.72667,3.0214798,-6.26859
jogging,-1.20663,0.99081,0.51993
jogging,8.15211,0.72594,2.27592
jogging,1.09872,-0.50031,-5.5426497
jogging,17.15769,3.7572298,-1.93257
jogging,-1.5107399,1.53036,0.82404
jogging,9.48627,0.26487,6.49422
jogging,0.13734,-4.29678,-2.39364
jogging,13.547609,3.6002698,0.44145
jogging,1.98162,0.38259,4.19868
jogging,2.36421,-1.34397,2.23668
jogging,3.0116699,-4.4439297,1.7461799
jogging,14.43051,1.9521899,-2.73699
jogging,3.77685,-0.72594,4.2771597
jogging,0.90252,-0.72594,2.8547099
jogging,9.52551,-9.08406,4.04172
jogging,6.88662,2.4524999,0.0981
jogging,8.0343895,-4.9049997,1.4322599
jogging,-4.00248,-1.38321,3.0116699
jogging,18.87444,-10.11411,7.4556
jogging,-0.47087997,0.84366,0.74556
jogging,14.43051,-6.93567,5.11101
jogging,-3.8455198,-0.69650996,-0.90252
jogging,17.000729,-5.0619597,8.44641
jogging,11.63466,0.42183,-4.19868
jogging,16.000109,-9.46665,2.58984
jogging,-4.6106997,-0.65726995,4.34583
jogging,19.953539,-13.94982,10.290689
jogging,0.21582,0.95157,0.51993
jogging,5.27778,-2.68794,3.5021698
jogging,0.59841,-1.1085299,-5.50341
jogging,17.07921,1.72656,-1.78542
jogging,-1.5107399,0.84366,-0.82404
jogging,13.05711,1.3047299,8.52489
jogging,-3.7670398,-0.42183,-0.40221
jogging,12.78243,-3.6787498,2.27592
jogging,4.81671,0.8829,0.55917
jogging,12.439079,-10.810619,-3.15882
jogging,-0.70632,-0.57879,-1.28511
jogging,9.10368,-5.2483497,4.08096
jogging,-0.5886,-1.34397,-1.08891
jogging,11.59542,-7.93629,0.94175994
jogging,5.0815797,-10.810619,0.55917
jogging,8.19135,-1.03986,-3.5021698
jogging,6.5727,-4.9049997,-6.49422
jogging,14.85234,1.45188,5.76828
jogging,2.66832,-1.2654899,7.07301
jogging,7.6517997,4.1005797,8.64261
jogging,1.36359,2.9528098,8.8289995
jogging,1.7069399,3.0214798,9.0252
jogging,2.2072499,4.52241,8.367929
jogging,1.44207,4.1005797,10.477079
jogging,0.75536996,2.57022,7.56351
jogging,0.0981,3.8258998,7.5340796
jogging,0.0981,4.06134,9.21159
jogging,0.55917,1.53036,8.98596
jogging,0.25506,2.2955399,8.76033
